,2161,1895, 490,
,2168,1891, 480,
,2172,1890, 473,
,2173,1894, 466,
,2180,1889, 462,
,2182,1894, 454,
,2181,1897, 449,
,2184,1899, 445,
,2180,1903, 440,
,2183,1904, 436,
,2180,1904, 431,
,2187,1907, 426,
,2186,1909, 420,
,2188,1910, 415,
,2192,1904, 408,
,2190,1914, 400,
,2186,1921, 394,
,2193,1921, 387,
,2193,1929, 380,
,2188,1935, 371,
,2187,1939, 360,
,2190,1949, 355,
,2187,1954, 345,
,2187,1958, 336,
,2189,1966, 324,
,2189,1970, 316,
,2189,1974, 299,
,2191,1981, 293,
,2196,1983, 280,
,2195,1991, 271,
,2195,1995, 257,
,2197,2001, 245,
,2199,2009, 231,
,2197,2019, 221,
,2198,2025, 209,
,2201,2032, 194,
,2201,2037, 180,
,2201,2255,  23,
,2070,2264,  18,
,2063,2272,  24,
,2053,2287,  18,
,2044,2296,  20,
,2033,2304,  12,
,2031,2311,  12,
,2024,2317,   9,
,2018,2324,   8,
,2012,2332,   8,
,2006,2335,   8,
,2001,2339,   6,
,2001,2342,   8,
,1992,2349,   8,
,1992,2362,   7,
,1989,2354,   8,
,1981,2358,   9,
,1975,2359,  13,
,1975,2361,  16,
,1973,2365,  21,
,1970,2362,  28,
,1965,2364,  32,
,1961,2359,  36,
,1958,2365,  41,
,1960,2362,  46,
,1952,2366,  45,
,1947,2364,  51,
,1944,2369,  56,
,1938,2371,  61,
,1931,2378,  68,
,1930,2375,  78,
,1924,2373,  83,
,1916,2377,  94,
,1908,2373,  80,
,1902,2373, 117,
,1898,2375, 125,
,1887,2373, 136,
,1883,2374, 144,
,1878,2376, 151,
,1865,2333, 456,
,1726,2325, 466,
,1729,2315, 481,
,1730,2313, 494,
,1730,2306, 510,
,1727,2297, 524,
,1721,2291, 537,
,1718,2283, 554,
,1715,2273, 572,
,1718,2270, 585,
,1718,2260, 597,
,1713,2252, 611,
,1712,2244, 623,
,1715,2224, 633,
,1713,2232, 649,
,1711,2232, 655,
,1709,2223, 664,
,1709,2216, 671,
,1710,2217, 678,
,1707,2212, 684,
,1711,2207, 691,
,1701,2203, 696,
,1709,2197, 703,
,1711,2195, 708,
,1708,2192, 712,
,1712,2189, 714,
,1710,2183, 721,
,1715,2182, 718,
,1714,2180, 726,
,1719,2178, 730,
,1721,2184, 733,
,1727,2169, 726,
,1729,2163, 725,
,1733,2166, 724,
,1740,2157, 726,
,1744,2158, 725,
,1742,2145, 726,
,1754,2146, 726,
,1752,2141, 730,
,1756,2135, 734,
,1973,1930, 732,
,1978,1928, 727,
,1976,1928, 714,
,1985,1925, 710,
,1994,1922, 706,
,1995,1924, 695,
,2001,1918, 688,
,2012,1918, 677,
,2021,1916, 663,
,2026,1914, 654,
,2035,1917, 644,
,2041,1916, 632,
,2050,1921, 621,
,2061,1915, 612,
,2067,1913, 602,
,2072,1910, 595,
,2081,1908, 586,
,2090,1905, 580,
,2099,1899, 566,
,2106,1902, 562,
,2112,1897, 552,
,2124,1900, 541,
,2130,1893, 534,
,2133,1884, 523,
,2142,1894, 513,
,2146,1890, 507,
,2155,1886, 502,
,2156,1896, 495,
,2164,1890, 487,
,2166,1891, 484,
,2169,1892, 478,
,2171,1893, 473,
,2174,1899, 467,
,2173,1894, 468,
,2176,1894, 456,
,2180,1896, 452,
,2188,1896, 448,
,2182,1898, 442,
,2189,1899, 436,
,2188,2104,  74,
,2206,2110,  69,
,2198,2113,  64,
,2201,2117,  62,
,2199,2122,  59,
,2197,2125,  56,
,2193,2128,  54,
,2190,2132,  55,
,2185,2136,  54,
,2182,2141,  56,
,2176,2145,  56,
,2173,2150,  57,
,2165,2154,  58,
,2156,2160,  57,
,2154,2164,  57,
,2150,2170,  54,
,2148,2176,  50,
,2144,2181,  48,
,2138,2187,  46,
,2130,2194,  44,
,2126,2361,  37,
,1953,2364,  42,
,1951,2366,  44,
,1944,2372,  52,
,1938,2369,  56,
,1939,2377,  68,
,1927,2376,  76,
,1915,2376,  90,
,1911,2373, 103,
,1906,2372, 118,
,1899,2375, 122,
,1893,2372, 128,
,1881,2375, 139,
,1881,2377, 147,
,1869,2381, 155,
,1860,2382, 161,
,1857,2386, 171,
,1851,2386, 180,
,1838,2384, 191,
,1829,2390, 203,
,1826,2389, 214,
,1815,2392, 225,
,1807,2392, 235,
,1803,2384, 246,
,1793,2395, 254,
,1786,2397, 261,
,1778,2401, 268,
,1775,2400, 274,
,1768,2400, 277,
,1764,2400, 286,
,1764,2403, 294,
,1756,2406, 299,
,1750,2404, 307,
,1749,2402, 311,
,1745,2397, 318,
,1743,2402, 321,
,1737,2400, 329,
,1738,2400, 332,
,1741,2397, 351,
,1735,2394, 344,
,1713,2194, 713,
,1714,2185, 717,
,1712,2187, 720,
,1717,2179, 725,
,1720,2177, 721,
,1723,2169, 723,
,1732,2169, 723,
,1730,2165, 725,
,1736,2155, 725,
,1740,2152, 724,
,1746,2150, 723,
,1746,2147, 730,
,1751,2141, 733,
,1754,2138, 732,
,1756,2130, 739,
,1761,2126, 736,
,1771,2122, 737,
,1778,2115, 735,
,1781,2103, 735,
,1788,2101, 729,
,1798,2092, 736,
,1803,2086, 739,
,1809,2079, 740,
,1817,2069, 745,
,1822,2064, 747,
,1826,2048, 752,
,1837,2046, 758,
,1839,2035, 760,
,1845,2033, 762,
,1853,2018, 763,
,1869,2014, 766,
,1868,2004, 766,
,1876,2003, 766,
,1886,1990, 770,
,1887,1990, 772,
,1889,1977, 775,
,1899,1976, 775,
,1903,1965, 779,
,1905,1963, 776,
,1910,1895, 515,
,2146,1894, 510,
,2152,1894, 498,
,2160,1894, 492,
,2159,1894, 485,
,2167,1893, 480,
,2168,1893, 471,
,2171,1896, 467,
,2179,1894, 460,
,2180,1895, 454,
,2182,1897, 448,
,2184,1897, 443,
,2187,1900, 439,
,2188,1901, 435,
,2186,1903, 425,
,2188,1908, 415,
,2187,1911, 416,
,2185,1916, 410,
,2185,1922, 404,
,2187,1923, 397,
,2185,1926, 390,
,2185,1935, 384,
,2191,1939, 379,
,2191,1934, 369,
,2191,1940, 362,
,2189,1946, 352,
,2193,1951, 341,
,2194,1956, 333,
,2189,1962, 318,
,2192,1968, 310,
,2192,1977, 298,
,2188,1985, 288,
,2191,1991, 275,
,2194,1999, 261,
,2193,2002, 250,
,2196,2009, 238,
,2198,2013, 229,
,2200,2025, 211,
,2204,2021, 201,
,2205,2031,  40,
,2084,2251,  34,
,2072,2259,  30,
,2070,2269,  23,
,2061,2277,  22,
,2050,2290,  17,
,2046,2297,  15,
,2033,2304,  14,
,2027,2315,  10,
,2021,2320,  10,
,2014,2324,   9,
,2012,2332,   8,
,2006,2336,   8,
,2004,2339,   8,
,1999,2342,   8,
,1995,2346,   9,
,1995,2347,  11,
,1990,2349,  13,
,1982,2353,  15,
,1982,2356,  22,
,1978,2358,  17,
,1975,2361,  23,
,1968,2363,  21,
,1966,2381,  26,
,1962,2363,  30,
,1958,2368,  35,
,1956,2369,  41,
,1950,2368,  47,
,1944,2366,  52,
,1940,2368,  64,
,1937,2368,  70,
,1932,2370,  77,
,1925,2368,  84,
,1919,2357,  90,
,1915,2374,  96,
,1913,2373, 105,
,1903,2372, 109,
,1898,2381, 117,
,1893,2377, 125,
,1885,2384, 432,
,1733,2337, 445,
,1734,2334, 458,
,1729,2326, 470,
,1720,2322, 483,
,1724,2311, 498,
,1727,2304, 512,
,1722,2297, 528,
,1726,2283, 545,
,1725,2277, 557,
,1722,2269, 571,
,1721,2265, 583,
,1717,2261, 595,
,1714,2254, 608,
,1713,2250, 618,
,1713,2241, 630,
,1710,2241, 641,
,1704,2231, 650,
,1709,2230, 660,
,1707,2219, 670,
,1706,2214, 682,
,1707,2208, 684,
,1708,2207, 688,
,1705,2208, 698,
,1707,2198, 703,
,1706,2197, 707,
,1715,2194, 705,
,1714,2192, 711,
,1710,2192, 711,
,1716,2184, 715,
,1721,2181, 715,
,1719,2177, 719,
,1722,2176, 722,
,1725,2169, 724,
,1727,2168, 726,
,1735,2163, 726,
,1733,2161, 730,
,1736,2155, 736,
,1734,2149, 732,
,1745,2146, 729,
,1961,1928, 746,
,1969,1925, 740,
,1970,1925, 738,
,1978,1922, 727,
,1980,1928, 717,
,1991,1924, 706,
,1994,1921, 692,
,1999,1923, 681,
,2008,1923, 675,
,2020,1924, 666,
,2026,1919, 658,
,2029,1918, 649,
,2037,1916, 625,
,2046,1913, 635,
,2055,1910, 624,
,2063,1908, 617,
,2067,1908, 607,
,2078,1906, 596,
,2086,1906, 583,
,2094,1905, 573,
,2100,1904, 563,
,2107,1902, 552,
,2118,1898, 544,
,2125,1899, 536,
,2129,1897, 528,
,2134,1895, 521,
,2145,1893, 515,
,2146,1893, 507,
,2154,1893, 503,
,2159,1893, 488,
,2165,1890, 488,
,2166,1895, 481,
,2173,1892, 476,
,2174,1902, 471,
,2176,1892, 468,
,2180,1893, 461,
,2184,1895, 455,
,2182,1898, 449,
,2181,1899, 445,
,2181,1902,  77,
,2209,2103,  71,
,2209,2104,  67,
,2206,2110,  68,
,2204,2113,  68,
,2197,2119,  64,
,2193,2121,  66,
,2188,2130,  65,
,2190,2129,  65,
,2184,2131,  60,
,2182,2137,  58,
,2179,2146,  56,
,2174,2152,  53,
,2168,2153,  53,
,2164,2160,  51,
,2167,2163,  52,
,2155,2169,  49,
,2149,2176,  53,
,2141,2182,  57,
,2133,2188,  57,
,2125,2182,  52,
,2121,2196,  48,
,2115,2211,  41,
,2108,2222,  42,
,2103,2227,  37,
,2098,2234,  33,
,2092,2242,  30,
,2083,2250,  28,
,2077,2258,  24,
,2069,2268,  23,
,2064,2276,  20,
,2053,2278,  21,
,2046,2291,  18,
,2040,2297,  15,
,2036,2307,  14,
,2030,2312,  11,
,2025,2318,  11,
,2019,2322,   8,
,2013,2323,   7,
,2011,2331,   9,
,1780,2399, 267,
,1776,2397, 278,
,1763,2399, 284,
,1761,2404, 291,
,1755,2400, 299,
,1756,2401, 303,
,1748,2402, 311,
,1745,2398, 321,
,1742,2398, 324,
,1736,2399, 330,
,1736,2396, 336,
,1736,2396, 341,
,1733,2393, 344,
,1737,2391, 351,
,1733,2392, 358,
,1734,2384, 362,
,1733,2381, 370,
,1736,2376, 376,
,1737,2376, 383,
,1735,2370, 396,
,1735,2366, 394,
,1732,2365, 398,
,1731,2360, 407,
,1729,2355, 413,
,1728,2348, 421,
,1730,2350, 430,
,1729,2344, 441,
,1728,2335, 465,
,1724,2327, 462,
,1729,2319, 473,
,1733,2315, 485,
,1729,2308, 497,
,1722,2304, 508,
,1727,2294, 520,
,1726,2287, 532,
,1719,2285, 541,
,1722,2282, 557,
,1715,2272, 571,
,1713,2269, 582,
,1719,2060, 747,
,1832,2052, 754,
,1842,2038, 759,
,1852,2029, 763,
,1854,2021, 766,
,1861,2006, 770,
,1873,1999, 770,
,1879,1990, 772,
,1890,2007, 774,
,1894,1976, 775,
,1897,1967, 776,
,1906,1964, 777,
,1907,1962, 778,
,1915,1956, 777,
,1913,1957, 776,
,1922,1949, 782,
,1925,1947, 776,
,1928,1946, 775,
,1931,1938, 771,
,1936,1939, 770,
,1939,1934, 769,
,1942,1933, 767,
,1945,1929, 764,
,1950,1916, 761,
,1955,1930, 756,
,1959,1928, 751,
,1965,1928, 743,
,1962,1933, 736,
,1972,1928, 730,
,1975,1927, 722,
,1979,1927, 716,
,1996,1927, 711,
,1989,1926, 705,
,1997,1924, 699,
,1997,1920, 693,
,2003,1921, 696,
,2007,1922, 675,
,2017,1917, 672,
,2021,1917, 661,
,2030,1917, 356,
,2187,1950, 342,
,2188,1953, 335,
,2191,1962, 320,
,2193,1970, 306,
,2193,1978, 295,
,2194,1983, 276,
,2193,1993, 266,
,2195,2002, 252,
,2193,2005, 237,
,2198,2017, 225,
,2199,2020, 212,
,2204,2028, 199,
,2204,2032, 190,
,2204,2045, 174,
,2210,2045, 162,
,2213,2050, 149,
,2207,2060, 139,
,2211,2064, 126,
,2210,2070, 117,
,2206,2075, 108,
,2213,2078, 104,
,2212,2084,  94,
,2215,2087,  96,
,2211,2090,  80,
,2211,2090,  83,
,2208,2095,  80,
,2206,2098,  76,
,2200,2103,  74,
,2203,2109,  70,
,2201,2112,  70,
,2201,2116,  65,
,2201,2118,  64,
,2197,2122,  57,
,2196,2122,  59,
,2192,2128,  56,
,2186,2127,  54,
,2183,2136,  56,
,2184,2140,  57,
,2176,2146,  33,
,1952,2368,  39,
,1949,2373,  43,
,1945,2369,  50,
,1943,2373,  61,
,1934,2368,  67,
,1925,2363,  85,
,1919,2369,  96,
,1914,2371, 104,
,1905,2360, 110,
,1900,2374, 119,
,1893,2376, 124,
,1887,2377, 134,
,1880,2379, 139,
,1874,2382, 149,
,1865,2384, 158,
,1856,2383, 171,
,1851,2385, 181,
,1844,2385, 194,
,1834,2384, 206,
,1822,2388, 216,
,1821,2390, 225,
,1809,2391, 233,
,1803,2392, 240,
,1797,2394, 247,
,1789,2397, 256,
,1781,2397, 264,
,1780,2400, 272,
,1769,2404, 281,
,1765,2402, 285,
,1759,2401, 294,
,1753,2404, 304,
,1749,2403, 306,
,1747,2401, 312,
,1741,2402, 317,
,1741,2398, 321,
,1739,2399, 328,
,1742,2400, 332,
,1739,2395, 324,
,1739,2392, 711,
,1706,2196, 711,
,1709,2188, 718,
,1712,2184, 718,
,1719,2179, 718,
,1719,2179, 720,
,1724,2172, 721,
,1727,2169, 723,
,1736,2164, 727,
,1732,2160, 728,
,1736,2155, 729,
,1735,2149, 731,
,1743,2148, 734,
,1746,2145, 734,
,1754,2138, 731,
,1759,2130, 733,
,1758,2127, 732,
,1769,2119, 734,
,1778,2115, 734,
